Nationality,rate,الجنسية,year
Non-Bahraini,9.090757126618673,غير بحريني,2004
Non-Bahraini,7.180154362770091,غير بحريني,2008
Non-Bahraini,7.0180076208406135,غير بحريني,2009
Non-Bahraini,6.684886258626453,غير بحريني,2011
Bahraini,25.121126796291364,بحريني,2014
Non-Bahraini,6.815196776177888,غير بحريني,2019
Bahraini,27.512361226555104,بحريني,2000
Bahraini,25.598035106296923,بحريني,2001
Non-Bahraini,12.26384496878294,غير بحريني,2001
Bahraini,24.667287698421987,بحريني,2002
Non-Bahraini,10.719819842079442,غير بحريني,2002
Bahraini,24.725150058785914,بحريني,2005
Bahraini,23.151325065803395,بحريني,2006
Non-Bahraini,6.717275513182217,غير بحريني,2010
Bahraini,23.077265139698437,بحريني,2011
Bahraini,24.690266814980596,بحريني,2012
Non-Bahraini,7.079849343956937,غير بحريني,2012
Bahraini,24.73529268253013,بحريني,2013
Non-Bahraini,7.498891692944901,غير بحريني,2013
Bahraini,24.11416487222827,بحريني,2015
Non-Bahraini,7.356864584417518,غير بحريني,2016
Bahraini,19.08027382783326,بحريني,2017
Bahraini,17.795679854415553,بحريني,2020
Non-Bahraini,12.495769987591963,غير بحريني,2000
Bahraini,25.399881516587676,بحريني,2003
Non-Bahraini,10.16347483591366,غير بحريني,2003
Bahraini,25.18238674380229,بحريني,2004
Non-Bahraini,7.947764057097172,غير بحريني,2005
Non-Bahraini,7.357856589965519,غير بحريني,2006
Bahraini,23.252242464919714,بحريني,2007
Non-Bahraini,7.419954167423706,غير بحريني,2007
Bahraini,24.060894258897306,بحريني,2008
Bahraini,24.169774430969998,بحريني,2009
Bahraini,23.82917431096205,بحريني,2010
Non-Bahraini,7.437651538859756,غير بحريني,2014
Non-Bahraini,7.420202716450261,غير بحريني,2015
Bahraini,22.761908630419118,بحريني,2016
Non-Bahraini,9.293233447869744,غير بحريني,2017
Bahraini,20.24607300997225,بحريني,2018
Non-Bahraini,7.1012580881928065,غير بحريني,2018
Bahraini,18.924891746826496,بحريني,2019
Non-Bahraini,7.047978696631227,غير بحريني,2020
