label,Qatar Pop,Kuwait Pop,Bahrain Pop
2021,2688235,4250114,1463265
2020,2760385,4360444,1477469
2019,2807235,4441100,1494188
2018,2766732,4317185,1487340
2017,2711755,4124904,1456834
2016,2595166,4048085,1409661
2015,2414573,3908743,1362142
2014,2214465,3761584,1311134
2013,2035501,3646518,1261673
2012,1905660,3394663,1224939
2011,1804171,3143825,1212077
2010,1713504,2943356,1213645
2009,1610274,2795550,1179453
2008,1444277,2650930,1110343
2007,1231893,2506769,1040532
2006,1015060,2363409,970981
2005,848710,2235403,901921
2004,777943,2153481,833451
2003,748525,2101506,778256
2002,713186,2047364,748324
2001,678831,1991674,730257
2000,645937,1934901,711442
1999,613302,1877427,692133
1998,580997,1819544,672484
1997,550591,1761468,652643
1996,529265,1703318,632756
1995,515133,1655222,612934
1994,500683,1641106,593254
1993,486041,1653645,573755
1992,471293,1620633,554470
1991,456486,1339500,535415
1990,441675,1674938,517418
1989,426896,2210013,500349
1988,412142,2129153,483337
1987,397391,2048477,466565
1986,382328,1968093,450196
1985,365868,1888975,434375
1984,348241,1813986,419217
1983,330454,1736028,404772
1982,312608,1652921,391017
1981,294887,1573026,377430
1980,277450,1493870,362595
1979,260368,1412266,346697
1978,243624,1329074,330912
1977,227177,1247225,315337
1976,210990,1168791,300044
1975,195043,1095998,285116
1974,179299,1030426,270627
1973,163734,970527,256632
1972,148338,913785,243143
1971,133096,858734,230992
1970,118007,802786,222555
1969,104517,743044,216696
1968,93022,681117,210801
1967,82517,621242,204916
1966,73102,565463,199019
1965,64843,513840,193012
1964,57531,465748,186587
1963,50950,420494,179891
1962,45123,378190,173359
1961,40111,339697,166970
1960,36385,305415,160691
